   GoodVibes v3.2 2024/04/17 11:10:30
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc spc_nbo -c 1 --csv 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for PBE1PBE/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  B6b_pyridinium_censo_ensemble_clustered_conf_07_opt,-672.683402,-672.459915,0.289353,-672.377221,0.058695,0.055766,-672.435916,-672.432987,
o  B6b_pyridinium_censo_ensemble_clustered_conf_10_opt,-672.683503,-672.459989,0.289204,-672.377439,0.058505,0.055793,-672.435944,-672.433232,
o  B6b_reduced_censo_ensemble_clustered_conf_01_opt,-673.417746,-673.194288,0.297919,-673.102421,0.059590,0.056817,-673.162010,-673.159237,
o  B6b_reduced_censo_ensemble_clustered_conf_03_opt,-673.417451,-673.194155,0.297890,-673.102223,0.059251,0.056601,-673.161475,-673.158824,
o  B6b_reduced_censo_ensemble_clustered_conf_07_opt,-673.416185,-673.192575,0.297789,-673.100905,0.059915,0.057064,-673.160820,-673.157969,
o  B6b_reduced_censo_ensemble_clustered_conf_09_opt,-673.416626,-673.193067,0.298236,-673.101152,0.058874,0.056380,-673.160026,-673.157532,
o  B6b_reduced_censo_ensemble_clustered_conf_10_opt,-673.416030,-673.192644,0.297992,-673.100713,0.058841,0.056371,-673.159555,-673.157084,
o  D1a_inactive_censo_ensemble_clustered_conf_01_opt,-732.581312,-732.338915,0.381790,-732.179437,0.067101,0.062929,-732.246537,-732.242366,
o  D1a_inactive_censo_ensemble_clustered_conf_02_opt,-732.581726,-732.339377,0.382117,-732.179601,0.066991,0.062805,-732.246593,-732.242406,
o  D1a_inactive_censo_ensemble_clustered_conf_05_opt,-732.583740,-732.341456,0.383058,-732.181211,0.064097,0.060674,-732.245307,-732.241885,
o  D1a_inactive_censo_ensemble_clustered_conf_06_opt,-732.583130,-732.340846,0.383019,-732.180698,0.063894,0.060630,-732.244592,-732.241328,
o  D1a_inactive_censo_ensemble_clustered_conf_07_opt,-732.580823,-732.338497,0.381982,-732.178907,0.066890,0.062631,-732.245797,-732.241537,
o  D1a_inactive_censo_ensemble_clustered_conf_08_opt,-732.581149,-732.338800,0.382120,-732.179114,0.067034,0.062585,-732.246147,-732.241698,
o  D1a_inactive_censo_ensemble_clustered_conf_09_opt,-732.580818,-732.338499,0.382076,-732.178786,0.067020,0.062685,-732.245806,-732.241471,
o  D1a_inactive_censo_ensemble_clustered_conf_10_opt,-732.583035,-732.341019,0.382833,-732.180892,0.062942,0.060202,-732.243834,-732.241094,
o  D1a_pyridinium_censo_ensemble_clustered_conf_01_opt,-731.399714,-731.157991,0.359502,-731.020745,0.065919,0.061854,-731.086664,-731.082599,
o  D1a_pyridinium_censo_ensemble_clustered_conf_03_opt,-731.400286,-731.158664,0.359366,-731.021590,0.065456,0.061455,-731.087046,-731.083045,
o  D1a_pyridinium_censo_ensemble_clustered_conf_04_opt,-731.400274,-731.158687,0.359593,-731.021403,0.065204,0.061287,-731.086607,-731.082689,
o  D1a_pyridinium_censo_ensemble_clustered_conf_05_opt,-731.398826,-731.157127,0.359465,-731.019956,0.065867,0.061715,-731.085823,-731.081671,
o  D1a_pyridinium_censo_ensemble_clustered_conf_06_opt,-731.399143,-731.157449,0.359541,-731.020223,0.065706,0.061628,-731.085929,-731.081851,
o  D1a_pyridinium_censo_ensemble_clustered_conf_07_opt,-731.398926,-731.157210,0.359869,-731.019747,0.065580,0.061516,-731.085327,-731.081263,
o  D1a_pyridinium_censo_ensemble_clustered_conf_09_opt,-731.402815,-731.161089,0.360707,-731.023468,0.061565,0.058829,-731.085033,-731.082297,
o  D1a_pyridinium_censo_ensemble_clustered_conf_10_opt,-731.400171,-731.158525,0.359972,-731.021043,0.065117,0.060994,-731.086161,-731.082038,
o  D1a_reduced_censo_ensemble_clustered_conf_02_opt,-732.133879,-731.892250,0.369298,-731.745107,0.063918,0.060647,-731.809024,-731.805754,
o  D1a_reduced_censo_ensemble_clustered_conf_04_opt,-732.131279,-731.889812,0.368075,-731.743034,0.067801,0.063324,-731.810834,-731.806358,
o  D1a_reduced_censo_ensemble_clustered_conf_05_opt,-732.130582,-731.889038,0.368112,-731.742358,0.067417,0.063155,-731.809776,-731.805513,
o  D1a_reduced_censo_ensemble_clustered_conf_09_opt,-732.130925,-731.889471,0.369023,-731.742286,0.064527,0.061034,-731.806812,-731.803320,
o  D1b_inactive_censo_ensemble_clustered_conf_01_opt,-771.863834,-771.609225,0.410552,-771.431850,0.069724,0.065433,-771.501575,-771.497284,
o  D1b_inactive_censo_ensemble_clustered_conf_03_opt,-771.863630,-771.608978,0.409727,-771.432243,0.071091,0.066249,-771.503334,-771.498492,
o  D1b_inactive_censo_ensemble_clustered_conf_04_opt,-771.862357,-771.607580,0.409899,-771.430774,0.070508,0.066229,-771.501282,-771.497003,
o  D1b_inactive_censo_ensemble_clustered_conf_05_opt,-771.862618,-771.607940,0.410332,-771.430620,0.070753,0.066155,-771.501373,-771.496775,
o  D1b_inactive_censo_ensemble_clustered_conf_06_opt,-771.863452,-771.608898,0.409968,-771.431958,0.070229,0.065762,-771.502187,-771.497720,
o  D1b_inactive_censo_ensemble_clustered_conf_07_opt,-771.866619,-771.611888,0.411333,-771.434401,0.066788,0.063353,-771.501189,-771.497755,
o  D1b_inactive_censo_ensemble_clustered_conf_08_opt,-771.865403,-771.610876,0.411587,-771.433124,0.066171,0.063035,-771.499295,-771.496159,
o  D1b_inactive_censo_ensemble_clustered_conf_09_opt,-771.863070,-771.608471,0.410535,-771.431096,0.070759,0.065741,-771.501855,-771.496837,
o  D1b_inactive_censo_ensemble_clustered_conf_10_opt,-771.862460,-771.607726,0.410423,-771.430651,0.069617,0.065349,-771.500268,-771.496000,
o  D1b_pyridinium_censo_ensemble_clustered_conf_01_opt,-770.686611,-770.432505,0.386921,-770.278216,0.071798,0.066399,-770.350014,-770.344615,
o  D1b_pyridinium_censo_ensemble_clustered_conf_02_opt,-770.686587,-770.432519,0.387287,-770.278023,0.070192,0.065622,-770.348215,-770.343645,
o  D1b_pyridinium_censo_ensemble_clustered_conf_03_opt,-770.686614,-770.432482,0.386855,-770.278314,0.070987,0.066051,-770.349301,-770.344365,
o  D1b_pyridinium_censo_ensemble_clustered_conf_04_opt,-770.794727,-770.541188,0.381987,-770.390780,0.072360,0.067538,-770.463139,-770.458318,
o  D1b_pyridinium_censo_ensemble_clustered_conf_06_opt,-770.687042,-770.433047,0.386998,-770.278812,0.070222,0.065362,-770.349033,-770.344174,
o  D1b_pyridinium_censo_ensemble_clustered_conf_07_opt,-770.687192,-770.433227,0.387206,-770.278849,0.069448,0.065045,-770.348297,-770.343894,
o  D1b_pyridinium_censo_ensemble_clustered_conf_08_opt,-770.685949,-770.431819,0.387384,-770.277370,0.070148,0.065436,-770.347519,-770.342806,
o  D1b_pyridinium_censo_ensemble_clustered_conf_09_opt,-770.686005,-770.431852,0.387182,-770.277597,0.070144,0.065379,-770.347741,-770.342976,
o  D1b_pyridinium_censo_ensemble_clustered_conf_10_opt,-770.685699,-770.431592,0.386807,-770.277529,0.071107,0.065983,-770.348636,-770.343512,
o  D1b_reduced_censo_ensemble_clustered_conf_01_opt,-771.420757,-771.166719,0.396977,-771.002591,0.067413,0.064013,-771.070004,-771.066604,
o  D1b_reduced_censo_ensemble_clustered_conf_04_opt,-771.418098,-771.164383,0.395833,-771.000488,0.071004,0.066395,-771.071492,-771.066882,
o  D1b_reduced_censo_ensemble_clustered_conf_07_opt,-771.419869,-771.166248,0.396893,-771.001792,0.067243,0.063850,-771.069034,-771.065641,
o  D1b_reduced_censo_ensemble_clustered_conf_09_opt,-771.415753,-771.161874,0.395871,-770.998193,0.070929,0.066160,-771.069122,-771.064353,
o  D1b_reduced_censo_ensemble_clustered_conf_10_opt,-771.417600,-771.163632,0.397046,-770.999505,0.067325,0.063646,-771.066830,-771.063151,
o  D2a_inactive_censo_ensemble_clustered_conf_01_opt,-656.139529,-655.930320,0.353171,-655.767729,0.064021,0.060204,-655.831750,-655.827933,
o  D2a_inactive_censo_ensemble_clustered_conf_03_opt,-656.139304,-655.930009,0.353218,-655.767406,0.064170,0.060299,-655.831577,-655.827705,
o  D2a_inactive_censo_ensemble_clustered_conf_04_opt,-656.138517,-655.929132,0.353124,-655.766589,0.064280,0.060596,-655.830869,-655.827185,
o  D2a_inactive_censo_ensemble_clustered_conf_05_opt,-656.138727,-655.929369,0.353187,-655.766772,0.063997,0.060444,-655.830768,-655.827215,
o  D2a_inactive_censo_ensemble_clustered_conf_06_opt,-656.142417,-655.933114,0.354418,-655.770026,0.059875,0.057534,-655.829901,-655.827559,
o  D2a_inactive_censo_ensemble_clustered_conf_07_opt,-656.138436,-655.929133,0.353416,-655.766462,0.063783,0.059979,-655.830245,-655.826441,
o  D2a_inactive_censo_ensemble_clustered_conf_08_opt,-656.138417,-655.929131,0.353245,-655.766591,0.063802,0.060048,-655.830393,-655.826639,
o  D2a_inactive_censo_ensemble_clustered_conf_09_opt,-656.137618,-655.928223,0.353245,-655.765632,0.064355,0.060530,-655.829987,-655.826162,
o  D2a_inactive_censo_ensemble_clustered_conf_10_opt,-656.137538,-655.928165,0.353045,-655.765698,0.065007,0.060830,-655.830705,-655.826527,
o  D2a_pyridinium_censo_ensemble_clustered_conf_01_opt,-654.954735,-654.746307,0.330719,-654.605968,0.062638,0.059096,-654.668606,-654.665064,
o  D2a_pyridinium_censo_ensemble_clustered_conf_02_opt,-654.955110,-654.746783,0.330926,-654.606328,0.062074,0.058608,-654.668401,-654.664935,
o  D2a_pyridinium_censo_ensemble_clustered_conf_03_opt,-654.955126,-654.746812,0.330525,-654.606593,0.062907,0.059032,-654.669499,-654.665625,
o  D2a_pyridinium_censo_ensemble_clustered_conf_04_opt,-654.953856,-654.745404,0.330873,-654.605014,0.062469,0.058866,-654.667483,-654.663880,
o  D2a_pyridinium_censo_ensemble_clustered_conf_05_opt,-654.953881,-654.745453,0.330911,-654.605013,0.062803,0.058997,-654.667816,-654.664010,
o  D2a_pyridinium_censo_ensemble_clustered_conf_06_opt,-654.953889,-654.745448,0.331123,-654.604859,0.062172,0.058710,-654.667030,-654.663569,
o  D2a_pyridinium_censo_ensemble_clustered_conf_07_opt,-654.953924,-654.745497,0.331149,-654.604863,0.062552,0.058864,-654.667414,-654.663727,
o  D2a_pyridinium_censo_ensemble_clustered_conf_08_opt,-654.954060,-654.745609,0.331319,-654.604874,0.062293,0.058722,-654.667167,-654.663596,
o  D2a_pyridinium_censo_ensemble_clustered_conf_09_opt,-654.954193,-654.745864,0.331074,-654.605317,0.062038,0.058465,-654.667355,-654.663782,
o  D2a_pyridinium_censo_ensemble_clustered_conf_10_opt,-654.954329,-654.745984,0.331104,-654.605435,0.061636,0.058214,-654.667070,-654.663648,
o  D2a_reduced_censo_ensemble_clustered_conf_01_opt,-655.694568,-655.485771,0.339805,-655.336138,0.064300,0.060187,-655.400437,-655.396324,
o  D2a_reduced_censo_ensemble_clustered_conf_05_opt,-655.696476,-655.487598,0.340839,-655.337534,0.062099,0.058365,-655.399633,-655.395899,
o  D2a_reduced_censo_ensemble_clustered_conf_06_opt,-655.693109,-655.484199,0.339776,-655.334637,0.065118,0.060656,-655.399755,-655.395293,
o  D2a_reduced_censo_ensemble_clustered_conf_08_opt,-655.692931,-655.484053,0.339940,-655.334409,0.065018,0.060474,-655.399427,-655.394883,
o  D2a_reduced_censo_ensemble_clustered_conf_10_opt,-655.694775,-655.485835,0.340759,-655.335999,0.060451,0.057682,-655.396450,-655.393682,
o  D2b_inactive_censo_ensemble_clustered_conf_01_opt,-695.421156,-695.199591,0.381385,-695.019591,0.067531,0.063339,-695.087122,-695.082930,
o  D2b_inactive_censo_ensemble_clustered_conf_02_opt,-695.421864,-695.200361,0.381633,-695.020134,0.067096,0.063006,-695.087230,-695.083141,
o  D2b_inactive_censo_ensemble_clustered_conf_03_opt,-695.421445,-695.199938,0.381028,-695.020176,0.067995,0.063551,-695.088170,-695.083726,
o  D2b_inactive_censo_ensemble_clustered_conf_04_opt,-695.421519,-695.200056,0.381520,-695.019863,0.067583,0.063265,-695.087446,-695.083128,
o  D2b_inactive_censo_ensemble_clustered_conf_05_opt,-695.420460,-695.198786,0.380957,-695.019143,0.067856,0.063760,-695.086999,-695.082903,
o  D2b_inactive_censo_ensemble_clustered_conf_06_opt,-695.424410,-695.202816,0.382225,-695.022702,0.063229,0.060520,-695.085931,-695.083223,
o  D2b_inactive_censo_ensemble_clustered_conf_07_opt,-695.420280,-695.198685,0.381421,-695.018762,0.067459,0.063194,-695.086221,-695.081955,
o  D2b_inactive_censo_ensemble_clustered_conf_08_opt,-695.420684,-695.199214,0.381836,-695.018863,0.066800,0.062706,-695.085663,-695.081569,
o  D2b_inactive_censo_ensemble_clustered_conf_09_opt,-695.420897,-695.199461,0.381853,-695.019073,0.067077,0.062773,-695.086150,-695.081845,
o  D2b_inactive_censo_ensemble_clustered_conf_10_opt,-695.419792,-695.198092,0.381477,-695.018145,0.067105,0.063116,-695.085250,-695.081261,
o  D2b_pyridinium_censo_ensemble_clustered_conf_01_opt,-694.241934,-694.021065,0.358518,-693.863499,0.067359,0.063032,-693.930859,-693.926531,
o  D2b_pyridinium_censo_ensemble_clustered_conf_02_opt,-694.242449,-694.021683,0.358212,-693.864413,0.067191,0.062725,-693.931604,-693.927138,
o  D2b_pyridinium_censo_ensemble_clustered_conf_04_opt,-694.241199,-694.020317,0.358585,-693.862828,0.066544,0.062439,-693.929371,-693.925266,
o  D2b_pyridinium_censo_ensemble_clustered_conf_05_opt,-694.241082,-694.020190,0.358566,-693.862682,0.067320,0.062893,-693.930002,-693.925575,
o  D2b_pyridinium_censo_ensemble_clustered_conf_06_opt,-694.241069,-694.020180,0.358622,-693.862650,0.066936,0.062742,-693.929587,-693.925392,
o  D2b_pyridinium_censo_ensemble_clustered_conf_07_opt,-694.241015,-694.020102,0.358329,-693.862844,0.067280,0.062924,-693.930124,-693.925767,
o  D2b_pyridinium_censo_ensemble_clustered_conf_09_opt,-694.241075,-694.020182,0.358482,-693.862816,0.066824,0.062655,-693.929640,-693.925471,
o  D2b_pyridinium_censo_ensemble_clustered_conf_10_opt,-694.241661,-694.020919,0.358637,-693.863310,0.067276,0.062601,-693.930586,-693.925911,
o  D2b_reduced_censo_ensemble_clustered_conf_01_opt,-694.981588,-694.760428,0.367611,-694.593728,0.068304,0.063583,-694.662032,-694.657311,
o  D2b_reduced_censo_ensemble_clustered_conf_05_opt,-694.981244,-694.760109,0.367945,-694.593229,0.067443,0.062853,-694.660671,-694.656082,
o  D2b_reduced_censo_ensemble_clustered_conf_07_opt,-694.981119,-694.760130,0.368209,-694.593128,0.065011,0.061542,-694.658139,-694.654670,
o  D5a_inactive_censo_ensemble_clustered_conf_01_opt,-751.986284,-751.741440,0.357315,-751.610032,0.063026,0.059805,-751.673058,-751.669837,
o  D5a_inactive_censo_ensemble_clustered_conf_03_opt,-751.983423,-751.739178,0.356439,-751.607525,0.066206,0.061981,-751.673732,-751.669506,
o  D5a_inactive_censo_ensemble_clustered_conf_04_opt,-751.984686,-751.740275,0.357181,-751.608611,0.063047,0.059784,-751.671657,-751.668395,
o  D5a_inactive_censo_ensemble_clustered_conf_05_opt,-751.982494,-751.738109,0.356320,-751.606565,0.066587,0.062399,-751.673152,-751.668964,
o  D5a_inactive_censo_ensemble_clustered_conf_06_opt,-751.985704,-751.741164,0.357553,-751.609366,0.062658,0.059482,-751.672024,-751.668848,
o  D5a_inactive_censo_ensemble_clustered_conf_07_opt,-751.984651,-751.739913,0.357410,-751.608300,0.063171,0.059965,-751.671471,-751.668266,
o  D5a_inactive_censo_ensemble_clustered_conf_09_opt,-751.982755,-751.738534,0.356497,-751.606865,0.066145,0.061739,-751.673009,-751.668604,
o  D5a_pyridinium_censo_ensemble_clustered_conf_01_opt,-750.807716,-750.563827,0.334626,-750.454746,0.062198,0.058812,-750.516944,-750.513558,
o  D5a_pyridinium_censo_ensemble_clustered_conf_04_opt,-750.805831,-750.562265,0.334906,-750.452668,0.061425,0.058450,-750.514093,-750.511118,
o  D5a_pyridinium_censo_ensemble_clustered_conf_09_opt,-750.805522,-750.562008,0.335082,-750.452152,0.062910,0.059144,-750.515062,-750.511296,
o  D5a_pyridinium_censo_ensemble_clustered_conf_10_opt,-750.804695,-750.561462,0.334853,-750.451447,0.062893,0.059063,-750.514340,-750.510510,
o  D5a_reduced_censo_ensemble_clustered_conf_01_opt,-751.524575,-751.280847,0.343706,-751.162002,0.062882,0.059678,-751.224884,-751.221680,
o  D5a_reduced_censo_ensemble_clustered_conf_02_opt,-751.524045,-751.280642,0.343993,-751.161249,0.063640,0.059812,-751.224890,-751.221061,
o  D5a_reduced_censo_ensemble_clustered_conf_03_opt,-751.525456,-751.282040,0.343733,-751.162830,0.063835,0.059953,-751.226665,-751.222783,
o  D5a_reduced_censo_ensemble_clustered_conf_04_opt,-751.525495,-751.281826,0.343683,-751.162924,0.063145,0.059835,-751.226070,-751.222759,
o  D5a_reduced_censo_ensemble_clustered_conf_05_opt,-751.524263,-751.280712,0.343709,-751.161697,0.062759,0.059634,-751.224455,-751.221330,
o  D5a_reduced_censo_ensemble_clustered_conf_06_opt,-751.525066,-751.281628,0.343728,-751.162440,0.063379,0.059891,-751.225819,-751.222330,
o  D5a_reduced_censo_ensemble_clustered_conf_07_opt,-751.524183,-751.280952,0.344078,-751.161442,0.062108,0.059129,-751.223550,-751.220572,
o  D5a_reduced_censo_ensemble_clustered_conf_09_opt,-751.522028,-751.278474,0.343633,-751.159357,0.064580,0.060487,-751.223937,-751.219845,
o  D5a_reduced_censo_ensemble_clustered_conf_10_opt,-751.523811,-751.280253,0.343506,-751.161331,0.063676,0.060023,-751.225008,-751.221354,
o  D5b_inactive_censo_ensemble_clustered_conf_01_opt,-791.267816,-791.010892,0.385423,-790.861892,0.066931,0.063032,-790.928823,-790.924924,
o  D5b_inactive_censo_ensemble_clustered_conf_02_opt,-791.267748,-791.010987,0.384906,-790.862204,0.067960,0.063592,-790.930164,-790.925795,
o  D5b_inactive_censo_ensemble_clustered_conf_04_opt,-791.265075,-791.008589,0.384851,-790.859331,0.069326,0.064776,-790.928657,-790.924107,
o  D5b_inactive_censo_ensemble_clustered_conf_05_opt,-791.266315,-791.009625,0.385881,-790.860179,0.065599,0.062320,-790.925778,-790.922499,
o  D5b_inactive_censo_ensemble_clustered_conf_06_opt,-791.265346,-791.008818,0.385009,-790.859424,0.069705,0.064954,-790.929129,-790.924378,
o  D5b_inactive_censo_ensemble_clustered_conf_08_opt,-791.265947,-791.008777,0.385247,-790.860174,0.067017,0.063153,-790.927191,-790.923327,
o  D5b_inactive_censo_ensemble_clustered_conf_09_opt,-791.264491,-791.007764,0.384979,-790.858823,0.068649,0.064166,-790.927472,-790.922989,
o  D5b_inactive_censo_ensemble_clustered_conf_10_opt,-791.264026,-791.007526,0.385249,-790.858080,0.068053,0.063779,-790.926133,-790.921859,
o  D5b_pyridinium_censo_ensemble_clustered_conf_01_opt,-790.094276,-789.838006,0.362737,-789.711464,0.066167,0.062331,-789.777632,-789.773795,
o  D5b_pyridinium_censo_ensemble_clustered_conf_02_opt,-790.092464,-789.836520,0.362438,-789.709868,0.065920,0.062335,-789.775788,-789.772203,
o  D5b_pyridinium_censo_ensemble_clustered_conf_06_opt,-790.093284,-789.837181,0.362358,-789.710766,0.066147,0.062383,-789.776913,-789.773149,
o  D5b_pyridinium_censo_ensemble_clustered_conf_10_opt,-790.092805,-789.836793,0.362744,-789.709965,0.067005,0.062527,-789.776970,-789.772492,
o  D5b_reduced_censo_ensemble_clustered_conf_01_opt,-790.810953,-790.554970,0.371550,-790.418959,0.066114,0.062683,-790.485073,-790.481642,
o  D5b_reduced_censo_ensemble_clustered_conf_02_opt,-790.810429,-790.554831,0.371743,-790.418312,0.066458,0.062627,-790.484770,-790.480939,
o  D5b_reduced_censo_ensemble_clustered_conf_04_opt,-790.810005,-790.554322,0.371774,-790.417794,0.066828,0.062949,-790.484622,-790.480743,
o  D5b_reduced_censo_ensemble_clustered_conf_05_opt,-790.811931,-790.556027,0.371790,-790.419746,0.066241,0.062794,-790.485988,-790.482541,
o  D5b_reduced_censo_ensemble_clustered_conf_06_opt,-790.811948,-790.556276,0.371766,-790.419793,0.066534,0.062741,-790.486327,-790.482534,
o  D5b_reduced_censo_ensemble_clustered_conf_09_opt,-790.811093,-790.555348,0.371445,-790.419170,0.066464,0.062914,-790.485634,-790.482083,
o  D5b_reduced_censo_ensemble_clustered_conf_10_opt,-790.809978,-790.554379,0.371623,-790.417964,0.066148,0.062604,-790.484112,-790.480569,
o  D3a_inactive_censo_ensemble_clustered_conf_01_opt,-716.513805,-716.282091,0.392180,-716.101248,0.067753,0.063629,-716.169001,-716.164877,
o  D3a_inactive_censo_ensemble_clustered_conf_02_opt,-716.511471,-716.279953,0.392112,-716.098984,0.068011,0.063645,-716.166995,-716.162629,
o  D3a_inactive_censo_ensemble_clustered_conf_03_opt,-716.511834,-716.280390,0.392207,-716.099323,0.067575,0.063390,-716.166898,-716.162713,
o  D3a_inactive_censo_ensemble_clustered_conf_05_opt,-716.513597,-716.281987,0.392270,-716.101031,0.067828,0.063318,-716.168859,-716.164350,
o  D3a_inactive_censo_ensemble_clustered_conf_06_opt,-716.510654,-716.279039,0.391821,-716.098270,0.068644,0.064188,-716.166914,-716.162458,
o  D3a_inactive_censo_ensemble_clustered_conf_07_opt,-716.514222,-716.282797,0.392993,-716.101439,0.064800,0.061434,-716.166239,-716.162874,
o  D3a_inactive_censo_ensemble_clustered_conf_08_opt,-716.512041,-716.280233,0.392016,-716.099489,0.068770,0.064280,-716.168259,-716.163769,
o  D3a_inactive_censo_ensemble_clustered_conf_09_opt,-716.510895,-716.279448,0.392170,-716.098345,0.069157,0.064007,-716.167502,-716.162352,
o  D3a_inactive_censo_ensemble_clustered_conf_10_opt,-716.512389,-716.280640,0.392614,-716.099548,0.067477,0.063154,-716.167025,-716.162702,
o  D3a_pyridinium_censo_ensemble_clustered_conf_01_opt,-715.331175,-715.100372,0.369671,-714.941730,0.066641,0.062535,-715.008372,-715.004266,
o  D3a_pyridinium_censo_ensemble_clustered_conf_03_opt,-715.331460,-715.100763,0.369381,-714.942322,0.067085,0.062624,-715.009407,-715.004946,
o  D3a_pyridinium_censo_ensemble_clustered_conf_05_opt,-715.330531,-715.099705,0.370203,-714.940713,0.066361,0.062080,-715.007073,-715.002793,
o  D3a_pyridinium_censo_ensemble_clustered_conf_06_opt,-715.330363,-715.099544,0.369896,-714.940744,0.067085,0.062519,-715.007829,-715.003263,
o  D3a_pyridinium_censo_ensemble_clustered_conf_07_opt,-715.330357,-715.099553,0.370138,-714.940584,0.066403,0.062262,-715.006987,-715.002846,
o  D3a_pyridinium_censo_ensemble_clustered_conf_09_opt,-715.330612,-715.099816,0.369885,-714.941050,0.066404,0.062248,-715.007454,-715.003298,
o  D3a_pyridinium_censo_ensemble_clustered_conf_10_opt,-715.330507,-715.099686,0.369974,-714.940899,0.066263,0.062204,-715.007162,-715.003103,
o  D3a_reduced_censo_ensemble_clustered_conf_05_opt,-716.070045,-715.839110,0.379773,-715.670460,0.065228,0.061571,-715.735689,-715.732031,
o  D3a_reduced_censo_ensemble_clustered_conf_07_opt,-716.066370,-715.835480,0.378760,-715.667166,0.068833,0.064135,-715.735999,-715.731301,
o  D3a_reduced_censo_ensemble_clustered_conf_09_opt,-716.069513,-715.838770,0.379655,-715.670048,0.064724,0.061503,-715.734772,-715.731551,
o  D3a_reduced_censo_ensemble_clustered_conf_10_opt,-716.067635,-715.837018,0.379734,-715.668241,0.064306,0.061097,-715.732546,-715.729337,
o  D3b_inactive_censo_ensemble_clustered_conf_01_opt,-755.794883,-755.550782,0.419872,-755.352829,0.072709,0.067659,-755.425538,-755.420488,
o  D3b_inactive_censo_ensemble_clustered_conf_03_opt,-755.793437,-755.549643,0.420296,-755.351286,0.071305,0.066618,-755.422592,-755.417904,
o  D3b_inactive_censo_ensemble_clustered_conf_04_opt,-755.795704,-755.551783,0.420311,-755.353493,0.071564,0.066585,-755.425057,-755.420078,
o  D3b_inactive_censo_ensemble_clustered_conf_05_opt,-755.798021,-755.554119,0.421664,-755.355233,0.067352,0.063920,-755.422585,-755.419153,
o  D3b_inactive_censo_ensemble_clustered_conf_06_opt,-755.793782,-755.550070,0.419950,-755.351950,0.071059,0.066506,-755.423009,-755.418456,
o  D3b_inactive_censo_ensemble_clustered_conf_07_opt,-755.793964,-755.550252,0.420748,-755.351443,0.071011,0.066286,-755.422454,-755.417729,
o  D3b_inactive_censo_ensemble_clustered_conf_08_opt,-755.794731,-755.550696,0.420335,-755.352508,0.071574,0.066774,-755.424082,-755.419283,
o  D3b_inactive_censo_ensemble_clustered_conf_09_opt,-755.794236,-755.550215,0.420677,-755.351699,0.071220,0.066604,-755.422919,-755.418303,
o  D3b_inactive_censo_ensemble_clustered_conf_10_opt,-755.793311,-755.549641,0.420980,-755.350695,0.070806,0.065982,-755.421501,-755.416677,
o  D3b_pyridinium_censo_ensemble_clustered_conf_01_opt,-754.618034,-754.374830,0.397322,-754.199080,0.071229,0.066483,-754.270309,-754.265563,
o  D3b_pyridinium_censo_ensemble_clustered_conf_02_opt,-754.618432,-754.375340,0.397404,-754.199521,0.070990,0.066034,-754.270511,-754.265555,
o  D3b_pyridinium_censo_ensemble_clustered_conf_04_opt,-754.617376,-754.374141,0.397775,-754.198090,0.070956,0.065977,-754.269046,-754.264067,
o  D3b_pyridinium_censo_ensemble_clustered_conf_06_opt,-754.618606,-754.375523,0.397261,-754.199762,0.071583,0.066275,-754.271345,-754.266036,
o  D3b_pyridinium_censo_ensemble_clustered_conf_07_opt,-754.617752,-754.374680,0.397999,-754.198442,0.070334,0.065530,-754.268775,-754.263972,
o  D3b_pyridinium_censo_ensemble_clustered_conf_08_opt,-754.617411,-754.374186,0.397419,-754.198419,0.071251,0.066175,-754.269670,-754.264594,
o  D3b_pyridinium_censo_ensemble_clustered_conf_10_opt,-754.617257,-754.374012,0.397294,-754.198333,0.071677,0.066535,-754.270010,-754.264868,
o  D3b_reduced_censo_ensemble_clustered_conf_05_opt,-755.357393,-755.114118,0.407841,-754.928190,0.068577,0.064649,-754.996767,-754.992838,
o  D3b_reduced_censo_ensemble_clustered_conf_06_opt,-755.356750,-755.113705,0.407406,-754.927906,0.068096,0.064653,-754.996002,-754.992559,
o  D3b_reduced_censo_ensemble_clustered_conf_07_opt,-755.354922,-755.112004,0.407712,-754.925980,0.067575,0.064147,-754.993555,-754.990127,
o  D3b_reduced_censo_ensemble_clustered_conf_09_opt,-755.355190,-755.112396,0.407977,-754.926160,0.067059,0.063691,-754.993220,-754.989851,
o  D3b_reduced_censo_ensemble_clustered_conf_10_opt,-755.352007,-755.109314,0.406629,-754.923576,0.071063,0.066440,-754.994638,-754.990015,
o  D4a_inactive_censo_ensemble_clustered_conf_01_opt,-677.217129,-676.998004,0.363808,-676.834272,0.065001,0.061084,-676.899273,-676.895356,
